﻿時間,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20
2025-04-06 14:34:42,童書/青少年文學(13),商業理財(8),語言學習(8),文學小說(5),宗教命理(4),心理勵志(4),人文社科(3),影視偶像(2),考試用書(1),醫療保健(1),限制級商品（需登入）(1),,,,,,,,,
2025-04-06 14:48:25,童書/青少年文學(13),商業理財(9),心理勵志(8),語言學習(5),文學小說(5),人文社科(3),宗教命理(3),影視偶像(1),限制級商品（需登入）(1),考試用書(1),醫療保健(1),,,,,,,,,
2025-04-06 15:17:48,童書/青少年文學(12),商業理財(9),心理勵志(8),語言學習(6),文學小說(5),人文社科(3),宗教命理(3),影視偶像(1),限制級商品（需登入）(1),考試用書(1),醫療保健(1),,,,,,,,,
2025-04-06 16:21:28,心理勵志(11),商業理財(10),語言學習(6),文學小說(5),童書/青少年文學(5),人文社科(4),宗教命理(3),醫療保健(2),影視偶像(1),限制級商品（需登入）(1),考試用書(1),飲食(1),,,,,,,,
2025-04-06 17:17:38,商業理財(11),心理勵志(11),語言學習(6),童書/青少年文學(6),文學小說(4),人文社科(4),宗教命理(3),影視偶像(1),限制級商品（需登入）(1),考試用書(1),醫療保健(1),飲食(1),,,,,,,,
2025-04-06 18:19:18,商業理財(10),心理勵志(10),童書/青少年文學(6),文學小說(5),語言學習(5),人文社科(4),宗教命理(3),醫療保健(2),影視偶像(1),限制級商品（需登入）(1),考試用書(1),親子教養(1),飲食(1),,,,,,,
2025-04-06 19:15:32,商業理財(11),心理勵志(11),語言學習(6),童書/青少年文學(5),人文社科(4),宗教命理(3),文學小說(3),醫療保健(2),影視偶像(1),限制級商品（需登入）(1),考試用書(1),飲食(1),親子教養(1),,,,,,,
2025-04-06 20:30:37,商業理財(12),心理勵志(9),語言學習(7),童書/青少年文學(6),人文社科(4),文學小說(3),宗教命理(3),醫療保健(2),影視偶像(1),限制級商品（需登入）(1),考試用書(1),飲食(1),,,,,,,,
2025-04-06 21:24:55,商業理財(12),心理勵志(10),語言學習(6),文學小說(5),童書/青少年文學(5),宗教命理(3),人文社科(3),醫療保健(2),影視偶像(1),限制級商品（需登入）(1),考試用書(1),飲食(1),,,,,,,,
2025-04-06 22:17:35,商業理財(13),心理勵志(8),語言學習(7),文學小說(6),人文社科(4),童書/青少年文學(3),宗教命理(3),醫療保健(2),影視偶像(1),飲食(1),限制級商品（需登入）(1),考試用書(1),,,,,,,,
2025-04-06 23:17:37,商業理財(15),心理勵志(8),文學小說(6),語言學習(5),人文社科(4),宗教命理(3),童書/青少年文學(3),醫療保健(2),影視偶像(2),飲食(1),限制級商品（需登入）(1),,,,,,,,,
2025-04-07 00:20:31,童書/青少年文學(14),商業理財(10),文學小說(6),心理勵志(4),電腦資訊(3),醫療保健(3),人文社科(3),影視偶像(2),語言學習(2),藝術設計(1),親子教養(1),國中小參考書(1),,,,,,,,
2025-04-07 01:16:15,文學小說(18),童書/青少年文學(11),語言學習(4),商業理財(4),人文社科(3),心理勵志(3),生活風格(3),醫療保健(2),宗教命理(2),,,,,,,,,,,
2025-04-07 02:22:42,文學小說(11),童書/青少年文學(11),語言學習(8),商業理財(5),心理勵志(5),人文社科(3),生活風格(3),宗教命理(2),醫療保健(1),飲食(1),,,,,,,,,,
2025-04-07 03:15:14,文學小說(12),語言學習(11),童書/青少年文學(9),心理勵志(5),人文社科(4),商業理財(4),醫療保健(2),生活風格(2),宗教命理(1),,,,,,,,,,,
2025-04-07 04:19:22,文學小說(11),童書/青少年文學(11),語言學習(8),商業理財(6),人文社科(5),心理勵志(5),醫療保健(2),宗教命理(1),生活風格(1),,,,,,,,,,,
2025-04-07 05:17:27,文學小說(10),語言學習(9),童書/青少年文學(9),人文社科(7),心理勵志(5),商業理財(4),醫療保健(2),飲食(2),宗教命理(1),親子教養(1),,,,,,,,,,
2025-04-07 06:17:19,文學小說(11),語言學習(9),童書/青少年文學(9),人文社科(6),商業理財(5),心理勵志(5),醫療保健(2),宗教命理(1),親子教養(1),飲食(1),,,,,,,,,,
2025-04-07 07:17:34,語言學習(9),童書/青少年文學(9),文學小說(8),人文社科(8),商業理財(6),心理勵志(5),醫療保健(2),宗教命理(2),限制級商品（需登入）(1),,,,,,,,,,,
2025-04-07 09:16:16,童書/青少年文學(11),語言學習(9),文學小說(8),心理勵志(7),商業理財(4),人文社科(4),醫療保健(2),宗教命理(2),藝術設計(2),限制級商品（需登入）(1),,,,,,,,,,
2025-04-07 11:05:44,童書/青少年文學(11),語言學習(8),文學小說(7),心理勵志(7),人文社科(6),商業理財(5),宗教命理(2),醫療保健(2),國中小參考書(1),限制級商品（需登入）(1),,,,,,,,,,
2025-04-07 12:22:52,童書/青少年文學(12),人文社科(8),文學小說(7),商業理財(7),語言學習(6),心理勵志(6),宗教命理(2),醫療保健(1),限制級商品（需登入）(1),,,,,,,,,,,
2025-04-07 13:20:01,人文社科(10),童書/青少年文學(10),文學小說(8),商業理財(6),語言學習(6),心理勵志(4),宗教命理(2),醫療保健(2),限制級商品（需登入）(1),親子教養(1),,,,,,,,,,
2025-04-07 14:26:25,人文社科(10),童書/青少年文學(10),文學小說(7),商業理財(7),語言學習(6),心理勵志(4),宗教命理(2),醫療保健(2),限制級商品（需登入）(1),親子教養(1),,,,,,,,,,
2025-04-07 15:20:36,童書/青少年文學(11),人文社科(9),文學小說(7),商業理財(6),語言學習(5),心理勵志(5),醫療保健(3),宗教命理(3),親子教養(1),,,,,,,,,,,
2025-04-07 16:25:10,童書/青少年文學(11),文學小說(8),人文社科(8),商業理財(6),語言學習(5),心理勵志(4),宗教命理(3),醫療保健(3),旅遊(1),親子教養(1),,,,,,,,,,
2025-04-07 17:21:35,童書/青少年文學(9),人文社科(8),文學小說(7),心理勵志(6),語言學習(6),商業理財(5),宗教命理(3),醫療保健(3),生活風格(1),旅遊(1),親子教養(1),,,,,,,,,
2025-04-07 18:21:41,童書/青少年文學(9),人文社科(7),文學小說(7),語言學習(7),商業理財(5),心理勵志(5),宗教命理(3),醫療保健(3),生活風格(2),旅遊(1),限制級商品（需登入）(1),,,,,,,,,
2025-04-07 19:17:34,童書/青少年文學(9),文學小說(7),人文社科(7),語言學習(6),心理勵志(6),商業理財(4),宗教命理(3),醫療保健(3),生活風格(2),旅遊(1),限制級商品（需登入）(1),親子教養(1),,,,,,,,
2025-04-07 20:35:30,童書/青少年文學(10),語言學習(7),人文社科(6),文學小說(6),心理勵志(5),商業理財(4),宗教命理(4),醫療保健(3),生活風格(2),旅遊(1),限制級商品（需登入）(1),親子教養(1),,,,,,,,
2025-04-07 21:30:12,童書/青少年文學(9),人文社科(8),語言學習(8),文學小說(7),商業理財(5),心理勵志(4),宗教命理(3),醫療保健(2),生活風格(2),限制級商品（需登入）(1),旅遊(1),,,,,,,,,
2025-04-07 22:19:37,童書/青少年文學(9),人文社科(8),文學小說(7),語言學習(7),商業理財(6),心理勵志(6),宗教命理(3),醫療保健(2),生活風格(1),限制級商品（需登入）(1),,,,,,,,,,
2025-04-07 23:20:41,人文社科(9),童書/青少年文學(8),文學小說(7),語言學習(7),心理勵志(6),商業理財(5),宗教命理(3),親子教養(2),醫療保健(1),生活風格(1),限制級商品（需登入）(1),,,,,,,,,
2025-04-08 00:22:01,童書/青少年文學(12),語言學習(8),人文社科(6),心理勵志(5),文學小說(4),生活風格(4),宗教命理(3),醫療保健(2),商業理財(2),旅遊(2),自然科普(1),藝術設計(1),,,,,,,,
2025-04-08 01:17:58,童書/青少年文學(15),文學小說(8),語言學習(5),商業理財(5),宗教命理(4),心理勵志(3),人文社科(2),自然科普(2),電腦資訊(2),親子教養(2),醫療保健(2),,,,,,,,,
2025-04-08 02:24:57,童書/青少年文學(13),文學小說(11),心理勵志(8),商業理財(4),人文社科(3),語言學習(3),生活風格(2),藝術設計(2),宗教命理(2),親子教養(1),自然科普(1),,,,,,,,,
2025-04-08 03:16:15,文學小說(13),童書/青少年文學(12),商業理財(6),心理勵志(4),人文社科(4),語言學習(3),生活風格(2),親子教養(2),宗教命理(2),藝術設計(1),國中小參考書(1),,,,,,,,,
2025-04-08 04:20:57,童書/青少年文學(10),文學小說(10),商業理財(9),心理勵志(5),人文社科(5),語言學習(5),親子教養(2),宗教命理(2),生活風格(1),藝術設計(1),,,,,,,,,,
